"TIME","Tov"
179.9630972,190.934
179.9704305,190.921
179.9764305,190.911
179.9837638,190.939
179.9910972,190.921
179.9964305,190.914
180.0022972,190.938
180.0077638,190.939
180.0144305,190.915
180.0217638,190.939
180.0277638,190.941
180.0344305,190.918
180.0417638,190.942
180.0477638,190.944
180.0530972,190.923
180.0604305,190.939
180.0664305,190.951
180.0737638,190.925
180.0810972,190.945
180.0864305,190.954
180.0937638,190.928
180.1010972,190.948
180.1057638,190.958
180.1130972,190.933
180.1204305,190.948
180.1264305,190.96
180.1337638,190.934
180.1410972,190.954
180.1464305,190.963
180.1522972,190.941
180.1577638,190.942
180.1644305,190.967
180.1717638,190.946
180.1777638,190.945
180.1844305,190.97
180.1917638,190.949
180.1977638,190.948
180.2034305,190.972
180.2107638,190.956
180.2167638,190.948
180.2240972,190.977
180.2304972,190.961
180.2354305,190.949
180.2427638,190.977
180.2494305,190.969
180.2554305,190.953
180.2627638,190.98
180.2694305,190.972
180.2754305,190.956
180.2808972,190.976
180.2867638,190.985
180.2940972,190.959
180.3014305,190.981
180.3074305,190.986
180.3147638,190.962
180.3220972,190.987
180.3280972,190.987
180.3334305,190.967
180.3407638,190.985
180.3467638,190.994
180.3540972,190.969
180.3614305,190.991
180.3674305,190.996
180.3747638,190.972
180.3806305,190.99
180.3860972,191.002
180.3934305,190.976
180.4007638,190.994
180.4067638,191.004
180.4140972,190.978
180.4214305,191
180.4264305,191.008
180.4337638,190.982
180.4410972,191.002
180.4470972,191.009
180.4544305,190.984
180.4617638,191.007
180.4677638,191.01
180.4736305,190.987
180.4804305,191.004
180.4864305,191.016
180.4937638,190.99
180.5010972,191.01
180.5070972,191.018
180.5144305,190.993
180.5217638,191.016
180.5264305,191.022
180.5337638,190.996
180.5410972,191.016
180.5470972,191.024
180.5544305,190.998
180.5617638,191.022
180.5677638,191.024
180.5736305,191.002
180.5804305,191.019
180.5864305,191.031
180.5937638,191.005
180.6010972,191.025
180.6070972,191.032
180.6144305,191.007
180.6217638,191.031
180.6264305,191.037
180.6337638,191.011
180.6410972,191.031
180.6470972,191.038
180.6544305,191.013
180.6617638,191.036
180.6677638,191.039
180.6734305,191.017
180.6807638,191.035
180.6867638,191.044
180.6940972,191.018
180.7014305,191.04
180.7060972,191.048
180.7134305,191.022
180.7207638,191.04
180.7267638,191.049
180.7340972,191.023
180.7414305,191.045
180.7474305,191.05
180.7544305,191.025
180.7600972,191.041
180.7660972,191.055
180.7734305,191.029
180.7807638,191.047
180.7867638,191.057
180.7940972,191.031
180.8014305,191.053
180.8060972,191.061
180.8134305,191.035
180.8207638,191.052
180.8267638,191.062
180.8340972,191.036
180.8414305,191.058
180.8474305,191.062
180.8544305,191.038
180.8600972,191.054
180.8660972,191.068
180.8734305,191.042
180.8807638,191.06
180.8867638,191.07
180.8925638,191.047
180.8984305,191.052
180.9050972,191.075
180.9124305,191.051
180.9184305,191.055
180.9250972,191.078
180.9324305,191.054
180.9378972,191.056
180.9444305,191.081
180.9517638,191.06
180.9577638,191.059
180.9644305,191.085
180.9717638,191.063
180.9777638,191.063
180.9834305,191.086
180.9907638,191.071
180.9967638,191.063
181.0040972,191.091
181.0114305,191.071
181.0174305,191.068
181.0247638,191.095
181.0300972,191.08
181.0360972,191.067
181.0434305,191.096
181.0507638,191.08
181.0557638,191.07
181.0630972,191.097
181.0704305,191.084
181.0764305,191.074
181.0822972,191.098
181.0877638,191.098
181.0944305,191.075
181.1017638,191.098
181.1077638,191.101
181.1144305,191.077
181.1217638,191.101
181.1274305,191.104
181.1347638,191.08
181.1420972,191.105
181.1480972,191.104
181.1547638,191.082
181.1620972,191.107
181.1680972,191.107
181.1734305,191.086
181.1807638,191.103
181.1867638,191.113
181.1940972,191.087
181.2014305,191.109
181.2074305,191.113
181.2147638,191.089
181.2206305,191.108
181.2260972,191.119
181.2334305,191.093
181.2407638,191.111
181.2467638,191.12
181.2540972,191.094
181.2614305,191.116
181.2674305,191.121
181.2727638,191.099
181.2794305,191.109
181.2854305,191.127
181.2927638,191.102
181.2984305,191.107
181.3050972,191.13
181.3124305,191.105
181.3184305,191.11
181.3250972,191.132
181.3309638,191.114
181.3364305,191.106
181.3437638,191.134
181.3510972,191.116
181.3570972,191.11
181.3644305,191.138
181.3717638,191.116
181.3777638,191.116
181.3830972,191.138
181.3904305,191.125
181.3964305,191.115
181.4037638,191.143
181.4110972,191.125
181.4170972,191.119
181.4244305,191.146
181.4302305,191.131
181.4360972,191.119
181.4434305,191.148
181.4507638,191.132
181.4567638,191.124
181.4640972,191.152
181.4694305,191.141
181.4754305,191.124
181.4827638,191.151
